(68069+1.8474111129762605e-13j),(78101+1.9184653865522705e-12j),(159049-4.618527782440651e-13j),(171499+1.0373923942097463e-12j)
(-7.523842880770548-20.953519199810763j),(23.20003507459153-34.39736835894424j),(42.07895309907309+21.618987467861125j),(46.506706451337024+11.145624349759778j)
(-22.310152852941545-13.188935222538335j),(-8.096055196365997+36.95305331457775j),(68.56709597964615-18.061375447143423j),(1.2663980080780615-17.57994327293977j)
(-64.12197768957328-39.80777914679814j),(-29.190361133025508-27.765207979730167j),(45.71654160288624+0.9197175019970256j),(64.12380810762933+32.81954075848156j)
(-98.78019519376126-81.5879457830772j),(-105.11588521352982-108.32719353902361j),(1.7303172078671498-2.843760563512763j),(73.50703176395852+45.36634818923519j)
(-58.1336078605094-51.40438711818369j),(-69.60060417261502-92.82090811360855j),(65.84831671148588+56.570558762341776j),(81.30836251722377+83.72570451767126j)
(-25.96490050409018-20.725244879076392j),(-62.425163994904196-70.09095037295755j),(44.23891879462198+34.63315592081659j),(77.76894370849949+45.65216093815056j)
(-92.09442027358315-4.261134159895281j),(-113.66231762567726+8.450548320736743j),(13.97566855871438+30.340307870672792j),(62.39277315293507-17.941330994120058j)
(-101.47699914655384+5.107881842935641j),(-156.707745816465+3.571816507548869j),(34.45075667743582+3.1584808700908957j),(106.43618677716641-40.81329355506287j)
(-90.39881356986106+11.284397870412574j),(-59.22984092634966+3.08046885809061j),(32.69401332144474+33.501878146692334j),(92.1974689979133+20.10613246123914j)
(-39.873822911659495+49.49701369821203j),(-29.965622379344346+10.506121514136662j),(25.910480578767306-15.680545208267832j),(19.24963783608212+16.17596588088849j)
(-19.709167649942987-18.607440241797185j),(2.5549548509949673+51.64760342840421j),(18.861340371421488+13.965435945919904j),(49.95887901809854-11.80518532142218j)
(-29.77960066578201+40.08713203628761j),(-54.44748647391687+47.22423095543519j),(36.26974734667866+34.59371170051894j),(31.895560845869596-12.20687622315844j)
(1.5470427465459564-7.818211106189924j),(0.4513174912312419+13.768150339843928j),(22.803960813026464+36.401068657919176j),(-3.2551556955884102+39.13521344961969j)
(27.604794589236505-46.22008522086562j),(4.978085296268677-69.38507077620244j),(-28.415281519283205+14.488121517241881j),(-2.5907368674264397+48.645747229735264j)
