sex;age;bmi;avg4;max4;min4;avg3;max3;min3;avg2;max2;min2;avg1;max1;min1;emotion
0;21;1;72.72727272727273;142.0;57.0;179.16666666666666;192.0;165.0;538.2727272727273;594.0;470.0;559.3636363636364;661.0;294.0;1
0;23;1;72.72727272727273;142.0;57.0;179.16666666666666;192.0;165.0;538.2727272727273;594.0;470.0;559.3636363636364;661.0;294.0;4
0;23;1;75.0;128.0;54.0;162.0;179.0;145.0;530.25;593.0;475.0;514.0;660.0;293.0;0
0;21;1;75.0;128.0;54.0;162.0;179.0;145.0;530.25;593.0;475.0;514.0;660.0;293.0;7
0;21;1;75.4;94.0;54.0;153.8;176.0;133.0;555.2;629.0;508.0;518.2;674.0;285.0;3
0;21;1;78.5;92.0;66.0;158.75;176.0;143.0;537.0;599.0;483.0;509.0;657.0;287.0;6
0;21;1;79.6;110.0;48.0;150.45454545454547;215.0;109.0;530.5454545454545;586.0;464.0;527.0;641.0;288.0;5
0;21;1;79.88888888888889;126.0;62.0;171.8;217.0;147.0;578.7777777777778;669.0;539.0;545.5;661.0;285.0;6
0;21;1;8.0;47.0;0.0;104.83333333333331;112.0;96.0;696.3333333333334;799.0;617.0;724.8333333333334;912.0;395.0;5
0;21;1;80.25;119.0;41.0;158.42857142857142;194.0;110.0;554.5714285714286;611.0;496.0;572.7142857142857;683.0;301.0;7
0;20;1;81.28571428571429;126.0;64.0;155.42857142857142;176.0;131.0;537.0;594.0;469.0;553.7142857142857;660.0;289.0;0
0;21;1;81.28571428571429;126.0;64.0;155.42857142857142;176.0;131.0;537.0;594.0;469.0;553.7142857142857;660.0;289.0;6
0;21;1;81.6;114.0;52.0;163.0;207.0;125.0;547.25;612.0;487.0;518.6;674.0;297.0;4
0;21;1;83.73333333333333;112.0;57.0;162.86666666666667;202.0;138.0;552.9333333333333;617.0;494.0;577.0;681.0;292.0;7
0;21;1;84.44444444444444;112.0;64.0;172.77777777777777;205.0;118.0;553.5555555555555;613.0;496.0;592.1111111111111;679.0;294.0;4
0;21;1;84.5;119.0;64.0;162.22222222222223;200.0;144.0;549.1111111111111;610.0;493.0;546.1111111111111;674.0;293.0;1
0;21;1;86.81818181818181;125.0;67.0;159.54545454545453;176.0;138.0;540.6363636363636;594.0;480.0;558.8181818181819;660.0;290.0;3
0;20;1;86.81818181818181;125.0;67.0;159.54545454545453;176.0;138.0;540.6363636363636;594.0;480.0;558.8181818181819;660.0;290.0;7
0;21;1;87.5;124.0;64.0;160.75;187.0;129.0;550.625;608.0;495.0;581.75;679.0;296.0;0
0;21;1;87.53333333333333;127.0;51.0;168.85714285714286;193.0;145.0;600.3333333333334;771.0;464.0;662.2;918.0;278.0;0
0;21;1;87.66666666666667;124.0;70.0;165.8;195.0;140.0;550.3333333333334;608.0;485.0;560.4;675.0;295.0;5
0;21;1;92.72727272727272;162.0;80.0;206.0909090909091;216.0;195.0;540.0;594.0;473.0;557.6363636363636;658.0;293.0;0
0;23;1;92.72727272727272;162.0;80.0;206.0909090909091;216.0;195.0;540.0;594.0;473.0;557.6363636363636;658.0;293.0;1
0;21;1;94.27272727272728;126.0;80.0;161.33333333333334;183.0;144.0;568.5;631.0;496.0;613.1818181818181;727.0;321.0;7
0;21;1;94.44444444444444;124.0;64.0;177.22222222222223;211.0;123.0;544.6666666666666;608.0;479.0;556.9;670.0;297.0;0
0;21;1;94.5;120.0;78.0;180.33333333333331;208.0;161.0;551.625;609.0;495.0;544.1111111111111;666.0;291.0;0
0;21;1;95.25;134.0;69.0;176.11111111111111;223.0;147.0;555.375;613.0;496.0;583.375;679.0;293.0;3
0;21;1;95.5;112.0;75.0;179.57142857142858;214.0;161.0;550.4285714285714;607.0;478.0;526.2857142857143;673.0;293.0;0
0;20;1;96.66666666666669;130.0;80.0;160.8;177.0;144.0;540.5333333333333;593.0;465.0;552.7142857142857;659.0;292.0;4
0;21;1;96.66666666666669;130.0;80.0;160.8;177.0;144.0;540.5333333333333;593.0;465.0;552.7142857142857;659.0;292.0;7
0;21;1;96.83333333333331;118.0;76.0;170.16666666666666;189.0;150.0;481.5;571.0;397.0;790.1428571428571;935.0;443.0;4
0;21;1;98.36363636363636;141.0;80.0;172.9;194.0;148.0;557.7272727272727;614.0;487.0;562.0;679.0;291.0;6
0;20;1;98.42857142857144;117.0;82.0;159.42857142857142;171.0;144.0;535.8571428571429;593.0;464.0;553.2857142857143;659.0;290.0;1
0;21;1;98.42857142857144;117.0;82.0;159.42857142857142;171.0;144.0;535.8571428571429;593.0;464.0;553.2857142857143;659.0;290.0;4
0;21;1;98.85714285714286;166.0;71.0;173.0;187.0;157.0;724.7142857142857;809.0;690.0;816.7142857142857;965.0;455.0;3
0;21;1;98.85714285714286;138.0;82.0;172.57142857142858;193.0;145.0;555.0;612.0;492.0;565.8571428571429;678.0;288.0;4
0;21;1;99.3125;141.0;83.0;181.125;208.0;148.0;554.125;610.0;481.0;581.375;678.0;297.0;7
